name,lat,lon,temp,humidity,temp_max,clouds,wind,country,city_id,date
umbita,5.2204,-73.4569,53.11,87,53.11,98,2.59,CO,3666493,1643719859
peniche,39.3558,-9.3811,63.64,44,65.62,0,4.54,PT,2264923,1643719860
ambulu,-8.345,113.6058,77.88,87,77.88,94,1.99,ID,1621313,1643719860
katsuura,35.1333,140.3,49.19,57,50.18,2,25.23,JP,2112309,1643719861
neuquen,-38.9516,-68.0591,73.29,38,73.29,0,9.22,AR,3843123,1643719853
tabou,4.423,-7.3528,86.16,58,86.16,73,8.12,CI,2281120,1643719863
jilin,43.0,126.0,-2.02,92,-2.02,11,2.39,CN,2036500,1643719863
grandview,38.8858,-94.533,50.31,88,51.98,100,1.99,US,4388460,1643719864
kahului,20.8947,-156.47,66.83,79,68.68,0,0.0,US,5847411,1643719864
shalazhi,43.0978,45.3608,40.35,66,42.6,47,4.16,RU,495969,1643719865
swellendam,-34.0226,20.4417,98.96,29,98.96,6,14.32,ZA,950709,1643719865
gumdag,39.2061,54.5906,55.09,33,55.09,100,4.56,TM,161943,1643719865
san antonio,29.4241,-98.4936,55.89,95,58.19,100,3.44,US,4726206,1643719839
tessalit,20.1986,1.0114,79.2,7,79.2,0,14.18,ML,2449893,1643719866
kruisfontein,-34.0033,24.7314,89.89,38,89.89,36,13.18,ZA,986717,1643719866
zyryanka,65.75,150.85,-11.83,95,-11.83,100,13.2,RU,2119283,1643719868
buraydah,26.326,43.975,63.05,22,63.05,0,12.35,SA,107304,1643719869
talnakh,69.4865,88.3972,4.21,96,4.21,100,9.26,RU,1490256,1643719869
jiuquan,39.7432,98.5174,22.08,26,22.08,99,3.11,CN,1279945,1643719869
kashi,39.4547,75.9797,36.61,23,36.61,0,4.47,CN,1280849,1643719870
shimoda,34.6667,138.95,43.11,53,43.11,13,29.57,JP,1852357,1643719870
constitucion,-35.3333,-72.4167,65.75,55,65.75,6,4.41,CL,3893726,1643719870
bengkulu,-3.8004,102.2655,78.26,87,78.26,100,5.23,ID,1649150,1643719871
pilot butte,50.4668,-104.4178,-4.59,77,-4.27,100,27.63,CA,6104745,1643719871
zhigansk,66.7697,123.3711,-30.19,99,-30.19,94,7.47,RU,2012530,1643719871
ponta delgada,37.7333,-25.6667,63.32,63,65.5,20,14.97,PT,3372783,1643719874
mar del plata,-38.0023,-57.5575,68.88,61,68.88,0,23.0,AR,3430863,1643719708
marion,39.7684,-86.1555,32.02,73,35.56,75,8.05,US,4260977,1643719624
rocha,-34.4833,-54.3333,68.83,47,68.83,0,3.27,UY,3440777,1643719874
sola,-13.8833,167.55,75.87,100,75.87,100,0.0,VU,2134814,1643719601
starup,55.241,9.535,45.36,87,46.51,75,27.63,DK,2612730,1643719875
saldanha,-33.0117,17.9442,77.05,72,77.05,18,13.51,ZA,3361934,1643719875
saravena,6.9538,-71.8752,80.98,44,80.98,100,2.33,CO,3668257,1643719875
lieksa,63.3167,30.0167,15.89,91,15.89,100,7.09,FI,648090,1643719876
nikolskoye,59.7035,30.7861,26.13,97,26.49,99,3.15,RU,546105,1643719876
luderitz,-26.6481,15.1594,71.1,75,71.1,67,12.01,NA,3355672,1643719879
idrinskoye,54.3708,92.1358,-10.5,96,-10.5,94,1.9,RU,1505998,1643719879
ancud,-41.8697,-73.8203,59.63,82,60.22,78,6.02,CL,3899695,1643719879
ormara,25.2088,64.6357,74.48,52,74.48,0,8.57,PK,1168700,1643719880
tezu,27.9167,96.1667,55.08,97,55.08,100,2.91,IN,1254709,1643719880
kavieng,-2.5744,150.7967,75.72,88,75.72,100,2.89,PG,2094342,1643719880
lodja,-3.4833,23.4333,89.62,45,89.62,97,3.02,CD,211647,1643719881
hirara,24.8,125.2833,68.85,63,68.85,27,16.58,JP,1862505,1643719881
gat,31.61,34.7642,58.24,51,59.92,6,4.54,IL,293842,1643719608
mwinilunga,-11.7358,24.4293,73.4,78,73.4,63,4.74,ZM,902620,1643719881
sao joao da barra,-21.6403,-41.0511,84.29,85,84.29,100,6.73,BR,3448903,1643719884
puerto leguizamo,-0.1934,-74.7819,76.68,72,76.68,68,0.25,CO,3671437,1643719884
san andres,12.5847,-81.7006,77.02,78,77.02,20,5.75,CO,3670218,1643719884
tocopilla,-22.092,-70.1979,70.45,63,70.45,0,8.03,CL,3869716,1643719885
lebu,-37.6167,-73.65,61.12,69,61.12,2,10.38,CL,3883457,1643719885
lavrentiya,65.5833,-171.0,5.47,65,5.47,9,20.4,RU,4031637,1643719885
innisfail,-17.5333,146.0333,76.15,92,76.15,100,4.56,AU,2162683,1643719886
ust-kuyga,70.0167,135.6,-21.08,95,-21.08,100,1.05,RU,2013921,1643719886
northam,51.0333,-4.2167,50.86,91,54.09,100,20.56,GB,2641434,1643719886
novikovo,51.1537,37.8879,27.41,85,27.41,98,14.88,RU,487928,1643719887
vengerovo,55.6848,76.7471,16.77,97,16.77,98,7.87,RU,1487615,1643719889
zhigalovo,54.8097,105.1578,-8.63,100,-8.63,91,0.56,RU,2012532,1643719889
luganville,-15.5333,167.1667,78.28,85,78.28,90,2.24,VU,2136150,1643719890
teguise,29.0605,-13.564,66.42,49,66.42,0,14.97,ES,2510573,1643719890
alamogordo,32.8995,-105.9603,41.79,42,47.44,0,1.99,US,5454627,1643719652
emba,48.8264,58.1442,23.9,80,23.9,100,11.95,KZ,609924,1643719891
sisimiut,66.9395,-53.6735,7.29,93,7.29,100,3.38,GL,3419842,1643719891
waipawa,-41.4122,175.5153,65.3,78,67.46,13,3.58,NZ,2206874,1643719892
port moresby,-9.4431,147.1797,72.82,94,72.82,75,11.5,PG,2088122,1643719892
semey,50.4111,80.2275,5.22,85,5.22,14,6.71,KZ,1519422,1643719892
palmer,42.1584,-72.3287,13.23,73,19.63,13,3.56,US,4946620,1643719895
ketchikan,55.3422,-131.6461,32.47,86,33.78,0,6.91,US,5554428,1643719895
hasanabad,36.5465,61.0543,59.47,22,59.47,100,5.61,IR,7052836,1643719895
kizema,61.113,44.8302,19.56,95,19.56,100,7.45,RU,547871,1643719896
batsfjord,70.6345,29.7185,15.58,62,19.62,0,10.36,NO,780717,1643719896
avera,33.194,-82.5271,29.91,83,37.27,0,6.64,US,4231997,1643719897
wanning,18.8003,110.3967,67.82,90,67.82,85,6.53,CN,1791779,1643719897
kalamata,37.0389,22.1142,61.11,75,61.11,75,7.0,GR,261604,1643719897
omboue,-1.5746,9.2618,85.42,63,85.42,51,10.49,GA,2396853,1643719898
calama,-22.4667,-68.9333,60.53,37,60.53,0,2.3,CL,3897347,1643719898
perth,-31.9333,115.8333,78.93,28,80.78,0,14.97,AU,2063523,1643719900
ust-ishim,57.6935,71.1665,2.84,100,2.84,73,2.77,RU,1488206,1643719901
vestmannaeyjar,63.4427,-20.2734,34.79,69,34.79,40,11.5,IS,3412093,1643719901
taoudenni,22.6783,-3.9836,83.16,8,83.16,6,15.73,ML,2450173,1643719603
longford,53.7333,-7.8,51.66,84,51.66,100,17.4,IE,2962840,1643719901
tura,25.5198,90.2201,59.22,56,59.22,38,1.39,IN,1254046,1643719902
manggar,-2.8833,108.2667,80.2,77,80.2,98,7.18,ID,1636426,1643719902
mount isa,-20.7333,139.5,80.37,78,80.37,51,2.3,AU,2065594,1643719903
severnyy,50.677,36.5532,32.04,69,32.04,0,13.42,RU,496358,1643719903
sala,34.0389,-6.8166,66.74,60,73.42,0,4.61,MA,2537763,1643719821
petrivka,46.9695,30.9591,43.25,69,43.25,100,2.68,UA,697450,1643719907
canchungo,12.0672,-16.0333,93.27,10,93.27,36,12.19,GW,2373951,1643719908
shu,43.5983,73.7614,35.4,67,35.4,0,7.94,KZ,1519030,1643719908
sinnamary,5.3833,-52.95,79.54,81,79.54,7,8.5,GF,3380290,1643719909
boulder,40.0833,-105.3505,19.26,53,24.66,0,3.0,US,5574999,1643719909
nuuk,64.1835,-51.7216,9.88,78,9.88,100,8.99,GL,3421319,1643719909
aripuana,-9.1667,-60.6333,72.73,96,72.73,100,1.36,BR,3665202,1643719910
aktau,43.65,51.2,48.78,62,48.78,100,9.78,KZ,610612,1643719910
iqaluit,63.7506,-68.5145,-29.31,73,-29.31,20,0.0,CA,5983720,1643719910
lagoa,39.05,-27.9833,59.04,79,59.04,11,17.13,PT,3372964,1643719911
la playona,15.1167,-88.9833,65.77,93,65.77,1,3.78,HN,3607146,1643719913
guerrero negro,27.9769,-114.0611,57.47,79,57.47,84,11.99,MX,4021858,1643719913
mount gambier,-37.8333,140.7667,55.31,58,55.31,100,16.11,AU,2156643,1643719914
merrill,45.1805,-89.6835,30.4,76,31.89,0,9.22,US,5262680,1643719668
